"Time","Value"
2024-07-13 10:13:00,189 W
2024-07-13 10:13:15,112 W
2024-07-13 10:13:30,112 W
2024-07-13 10:13:45,117 W
2024-07-13 10:14:00,115 W
2024-07-13 10:14:15,111 W
2024-07-13 10:14:30,114 W
2024-07-13 10:14:45,110 W
2024-07-13 10:15:00,112 W
2024-07-13 10:15:15,109 W
2024-07-13 10:15:30,111 W
2024-07-13 10:15:45,115 W
2024-07-13 10:16:00,110 W
2024-07-13 10:16:15,111 W
2024-07-13 10:16:30,113 W
2024-07-13 10:16:45,111 W
2024-07-13 10:17:00,111 W
2024-07-13 10:17:15,113 W
2024-07-13 10:17:30,111 W
2024-07-13 10:17:45,112 W
2024-07-13 10:18:00,109 W
2024-07-13 10:18:15,111 W
2024-07-13 10:18:30,113 W
2024-07-13 10:18:45,111 W
2024-07-13 10:19:00,114 W
2024-07-13 10:19:15,115 W
2024-07-13 10:19:30,117 W
2024-07-13 10:19:45,112 W
2024-07-13 10:20:00,114 W
2024-07-13 10:20:15,113 W
2024-07-13 10:20:30,112 W
2024-07-13 10:20:45,110 W
2024-07-13 10:21:00,111 W
2024-07-13 10:21:15,114 W
2024-07-13 10:21:30,106 W
2024-07-13 10:21:45,112 W
2024-07-13 10:22:00,112 W
2024-07-13 10:22:15,111 W
2024-07-13 10:22:30,112 W
2024-07-13 10:22:45,108 W
2024-07-13 10:23:00,109 W
2024-07-13 10:23:15,114 W
2024-07-13 10:23:30,112 W
2024-07-13 10:23:45,109 W
2024-07-13 10:24:00,112 W
2024-07-13 10:24:15,108 W
2024-07-13 10:24:30,118 W
2024-07-13 10:24:45,111 W
2024-07-13 10:25:00,110 W
2024-07-13 10:25:15,107 W
2024-07-13 10:25:30,111 W
2024-07-13 10:25:45,108 W
2024-07-13 10:26:00,107 W
2024-07-13 10:26:15,125 W
2024-07-13 10:26:30,150 W
2024-07-13 10:26:45,139 W
2024-07-13 10:27:00,210 W
2024-07-13 10:27:15,152 W
2024-07-13 10:27:30,137 W
2024-07-13 10:27:45,150 W
2024-07-13 10:28:00,139 W
2024-07-13 10:28:15,127 W
2024-07-13 10:28:30,141 W
2024-07-13 10:28:45,128 W
2024-07-13 10:29:00,134 W
2024-07-13 10:29:15,140 W
2024-07-13 10:29:30,141 W
