"Time","Value"
2024-07-13 15:12:15,153 W
2024-07-13 15:12:30,144 W
2024-07-13 15:12:45,210 W
2024-07-13 15:13:00,176 W
2024-07-13 15:13:15,154 W
2024-07-13 15:13:30,133 W
2024-07-13 15:13:45,194 W
2024-07-13 15:14:00,162 W
2024-07-13 15:14:15,136 W
2024-07-13 15:14:30,149 W
2024-07-13 15:14:45,158 W
2024-07-13 15:15:00,168 W
2024-07-13 15:15:15,171 W
2024-07-13 15:15:30,163 W
2024-07-13 15:15:45,185 W
2024-07-13 15:16:00,155 W
2024-07-13 15:16:15,184 W
2024-07-13 15:16:30,172 W
2024-07-13 15:16:45,203 W
2024-07-13 15:17:00,134 W
2024-07-13 15:17:15,172 W
2024-07-13 15:17:30,142 W
2024-07-13 15:17:45,183 W
2024-07-13 15:18:00,149 W
2024-07-13 15:18:15,135 W
2024-07-13 15:18:30,139 W
2024-07-13 15:18:45,152 W
2024-07-13 15:19:00,176 W
2024-07-13 15:19:15,174 W
2024-07-13 15:19:30,163 W
2024-07-13 15:19:45,130 W
2024-07-13 15:20:00,136 W
2024-07-13 15:20:15,134 W
2024-07-13 15:20:30,200 W
2024-07-13 15:20:45,144 W
2024-07-13 15:21:00,182 W
2024-07-13 15:21:15,133 W
2024-07-13 15:21:30,152 W
2024-07-13 15:21:45,139 W
2024-07-13 15:22:00,138 W
2024-07-13 15:22:15,187 W
2024-07-13 15:22:30,193 W
2024-07-13 15:22:45,154 W
2024-07-13 15:23:00,172 W
2024-07-13 15:23:15,158 W
2024-07-13 15:23:30,174 W
2024-07-13 15:23:45,192 W
2024-07-13 15:24:00,139 W
2024-07-13 15:24:15,163 W
2024-07-13 15:24:30,163 W
2024-07-13 15:24:45,126 W
2024-07-13 15:25:00,145 W
2024-07-13 15:25:15,128 W
2024-07-13 15:25:30,163 W
2024-07-13 15:25:45,164 W
2024-07-13 15:26:00,180 W
2024-07-13 15:26:15,161 W
2024-07-13 15:26:30,212 W
2024-07-13 15:26:45,154 W
2024-07-13 15:27:00,184 W
2024-07-13 15:27:15,184 W
2024-07-13 15:27:30,169 W
2024-07-13 15:27:45,179 W
2024-07-13 15:28:00,206 W
2024-07-13 15:28:15,205 W
2024-07-13 15:28:30,165 W
2024-07-13 15:28:45,163 W
2024-07-13 15:29:00,170 W
