Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},65766,0,210.0,585.3781873045369,39.58877500008384,8948.313769000379,23294.199267098502,59.7626748128931,0.0,210,400,650,870,1700,2500,3400,4100,6300,8300,8900
GET,/notificationservice/notifications,26733,0,410.0,447.2551678494678,55.246120999072446,1866.5978889985126,713.1087794112146,24.292728549297074,0.0,410,500,560,610,740,850,1000,1100,1400,1800,1900
POST,/notificationservice/notifications/count,26903,0,420.0,450.1469137919589,56.87782099994365,1992.5451230010367,1.2359959855778166,24.447210420145108,0.0,420,510,570,610,740,860,1000,1100,1400,1800,2000
POST,/notificationservice/notifications/{id},17394,0,460.0,495.9408420440918,39.79055200034054,1944.6681360004732,89.20340347246177,15.806221538415938,0.0,460,570,650,700,840,960,1100,1200,1600,1900,1900
GET,/postservice/categories,24133,1,54,86.09632296286762,37.150611000470235,2890.3347560008115,750.9752206522189,21.930064642209487,0.0009087168873413785,54,72,89,100,150,210,360,590,1200,2200,2900
GET,/postservice/posts,16921,2,180.0,207.3723410670671,41.72309800014773,2524.5282819996646,36056.56911530052,15.376398450703466,0.001817433774682757,180,230,270,290,380,480,630,750,1400,2400,2500
POST,/postservice/posts,12042,1,390.0,435.0864803402975,74.95791200017266,2380.748700999902,588.2450589603056,10.942768757364881,0.0009087168873413785,390,460,520,560,680,830,1000,1200,1800,2300,2400
GET,/postservice/posts/{id},11774,1,54,86.56927612390851,37.80870899936417,1583.7945889998082,812.884321386105,10.699232631557392,0.0009087168873413785,54,70,87,100,150,210,400,600,1200,1500,1600
POST,/postservice/posts/{id}/comments,12091,0,350.0,443.0594860989913,60.417722999773105,6715.237132000766,25066.622859978495,10.987295884844608,0.0,350,420,470,520,700,1000,1800,2800,4300,6400,6700
GET,/postservice/posts/{id}/image,12067,1,160.0,202.5837063239346,39.408115999322035,2400.2584390000266,123085.59874036629,10.965486679548414,0.0009087168873413785,160,210,250,280,370,480,680,840,1400,2200,2400
POST,/postservice/posts/{id}/like,60227,2,330.0,414.6356989682002,47.301818998676026,8368.621701998563,23632.602454048847,54.729291973909206,0.001817433774682757,330,400,450,490,640,950,1500,2300,4100,6400,8400
POST,/userservice/users,14713,0,60,81.7300904867772,37.490722999791615,1264.2188959998748,126.71467409773669,13.369951563453702,0.0,60,72,84,95,130,180,300,410,730,1000,1300
POST,/userservice/users/search,33529,0,74,125.10110144796909,42.07509500156448,1592.8231759990013,38216.3631781443,30.46836851566908,0.0,74,120,170,190,260,330,450,590,940,1500,1600
GET,/userservice/users/{id},14550,0,48,68.5313665268787,36.542751999149914,1056.4105739995284,1285.4354639175258,13.221830710817057,0.0,48,58,70,80,120,150,230,340,760,940,1100
PUT,/userservice/users/{id},14835,0,64,86.37034116239177,37.84047699991788,1587.3699589992611,948.1662959218065,13.48081502370935,0.0,64,76,89,100,140,200,300,410,830,1100,1600
PUT,/userservice/users/{id}/follow,117842,0,68,92.91282497227819,38.181276999239344,1591.813605000425,1410.4347601025102,107.08501543808273,0.0,68,82,96,110,150,210,330,450,810,1100,1600
GET,/userservice/users/{id}/followers,14745,0,250.0,287.7003491439167,120.71419300082198,1670.4148700009682,352.43662258392675,13.399030503848627,0.0,250,280,310,340,430,540,710,850,1400,1600,1700
,Aggregated,496265,8,150.0,279.4412936274824,36.542751999149914,8948.313769000379,13896.962314489234,450.96438609646924,0.007269735098731028,150,260,340,400,590,830,1400,2200,4400,6900,8900
