Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},13185,0,32000.0,32608.24704641606,2566.757257001882,122602.84280999986,564689.1484262419,11.975725467745933,0.0,32000,32000,33000,33000,34000,37000,63000,65000,94000,122000,123000
GET,/notificationservice/notifications,5299,0,82,93.64785632155036,47.347899999294896,896.4653249968251,590.1400264200793,4.812997288857467,0.0,82,93,100,110,130,150,190,330,570,900,900
POST,/notificationservice/notifications/count,5355,0,83,94.27528386647283,44.62495800180477,1032.834287998412,1.2203548085901028,4.863861196797836,0.0,83,94,100,110,130,150,200,340,710,1000,1000
POST,/notificationservice/notifications/{id},3380,0,88,108.02034795887961,38.85253900079988,988.6776660023315,87.51745562130178,3.0700001578294467,0.0,88,100,110,120,160,270,400,480,770,990,990
GET,/postservice/categories,4724,0,5000.0,5479.304079561856,840.5533549994288,21012.062413999956,2880947.4805249786,4.290733948398315,0.0,5000,6100,6900,7400,8700,10000,12000,13000,17000,21000,21000
GET,/postservice/posts,2800,0,130.0,167.92213365430635,43.05899400060298,1956.2771249984507,24899.4675,2.5431953970184766,0.0,130,190,220,240,290,390,550,630,1100,2000,2000
POST,/postservice/posts,2331,0,150.0,192.51008516607445,62.61133400039398,2018.4983590006595,588.4543114543114,2.1172101680178814,0.0,150,180,210,230,330,450,560,700,1600,2000,2000
GET,/postservice/posts/{id},2447,0,70,83.33137722190953,40.489663999323966,866.3624149994575,798.7678790355537,2.2225711201800755,0.0,70,82,90,97,120,140,270,370,710,870,870
POST,/postservice/posts/{id}/comments,2301,0,100.0,124.9963130122001,56.06080800134805,1611.2088080008107,6058.116036505867,2.0899616459069694,0.0,100,120,130,150,190,230,310,430,1300,1600,1600
GET,/postservice/posts/{id}/image,2376,0,210.0,307.2854385513799,44.60700300114695,2723.22197199901,121117.53998316498,2.15808295118425,0.0,210,300,380,450,650,850,1200,1500,2400,2700,2700
POST,/postservice/posts/{id}/like,11854,0,93,114.97823060248766,46.04376100178342,2128.80524099819,5831.627551881222,10.766799370091793,0.0,93,110,120,140,180,230,330,410,1400,1800,2100
POST,/userservice/users,3063,0,82,96.46816788276637,42.391593000502326,891.8884039994737,130.43552073130917,2.7820741075241404,0.0,82,94,100,110,140,180,270,380,640,890,890
POST,/userservice/users/search,6616,0,83,152.44916839602809,43.608574000245426,2779.876149001211,29851.820435308342,6.009207409526514,0.0,83,110,170,240,360,460,610,760,1400,2800,2800
GET,/userservice/users/{id},3014,0,71,84.52895162810835,42.59223799817846,1146.996774001309,1173.484406104844,2.737568188076317,0.0,71,82,91,98,120,140,240,380,820,1100,1100
PUT,/userservice/users/{id},2989,0,85,100.74983492472482,43.852276998222806,820.5590289981046,1025.1582469053194,2.7148610863172236,0.0,85,98,110,120,140,180,310,390,730,820,820
PUT,/userservice/users/{id}/follow,23884,1,90,106.05866654141848,48.674133999156766,1121.2326349996147,1295.8108775749456,21.693456736567605,0.0009082840703637416,90,100,110,120,150,190,290,390,700,1000,1100
GET,/userservice/users/{id}/followers,2974,0,180.0,207.3385309805133,80.16473700263305,1237.716672996612,18527.429724277066,2.7012368252617676,0.0,180,210,240,260,310,380,520,590,1200,1200,1200
,Aggregated,98592,1,100.0,4723.541498430489,38.85253900079988,122602.84280999986,221041.15629057123,89.549543065302,0.0009082840703637416,100,140,220,420,30000,32000,34000,35000,65000,95000,123000
