Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},13589,10984,32000.0,40122.36013240962,7.388445999822579,2251843.321268001,169363.96011479874,8.641843502063512,6.985209288885541,32000,35000,37000,39000,45000,56000,75000,98000,1453000,1993000,2252000
GET,/notificationservice/notifications,12078,54,140.0,1668.5031916140892,48.06699300024775,75583.37304300039,695.4791356184799,7.680932064016711,0.03434097793152032,140,550,1200,1900,4200,8200,15000,24000,42000,75000,76000
POST,/notificationservice/notifications/count,12230,198,120.0,8032.2153336853535,48.91810700064525,2324169.4709329987,1.9363859362224038,7.7775955574535836,0.12591691908224117,120,460,1100,1700,4100,8000,20000,32000,1619000,2324000,2324000
POST,/notificationservice/notifications/{id},8383,80,91,2939.1345566345085,10.559848999037058,1982336.0298340013,88.18203507097698,5.331118851850645,0.050875522861511584,91,160,370,690,2300,5200,11000,20000,764000,1982000,1982000
GET,/postservice/categories,7424,826,10000.0,12762.443089934284,38.971623000179534,99455.37678800065,3881222.8635506467,4.721248521548275,0.5252897735451071,10000,14000,16000,18000,27000,33000,43000,55000,90000,99000,99000
GET,/postservice/posts,8054,736,630.0,3675.1074649659795,43.767070999820135,76825.47570899987,26030.105537621057,5.121893264082678,0.46805481032590657,630,1700,2900,4000,11000,22000,31000,35000,54000,77000,77000
POST,/postservice/posts,6663,1808,1200.0,8348.080675412748,44.07718800030125,1973699.105964999,452.904697583671,4.237295110328146,1.1497868166701617,1200,2400,3700,5200,13000,24000,36000,51000,1351000,1974000,1974000
GET,/postservice/posts/{id},6769,743,490.0,8203.352406440692,39.887783999802195,1981081.594202,698.332397695376,4.304705178119649,0.47250641857628883,490,1600,2700,3800,11000,24000,35000,53000,1255000,1981000,1981000
POST,/postservice/posts/{id}/comments,6661,841,730.0,9244.682661703197,43.45522500079824,2320703.079785,7394.844017414803,4.236023222256608,0.5348289340816406,730,2000,3500,4900,14000,26000,42000,72000,1472000,2321000,2321000
GET,/postservice/posts/{id}/image,6844,1191,1200.0,10608.59681194199,43.65047899955243,2025919.2465350006,134357.27060198714,4.352400980802316,0.7574093466007537,1200,2300,3700,5000,14000,26000,37000,59000,1609000,2026000,2026000
POST,/postservice/posts/{id}/like,33998,4231,630.0,10233.52684844891,39.70307000054163,2026814.947424,7379.929025236778,21.620825328070886,2.6906792153381938,630,1800,3000,4200,13000,26000,41000,93000,1614000,1980000,2027000
POST,/userservice/users,1342,100,420.0,45523.4397737176,40.41935100030969,2346452.081680001,122.09687034277198,0.8534368960018568,0.06359440357688947,420,1800,3200,4500,19000,53000,1277000,1428000,2324000,2346000,2346000
POST,/userservice/users/search,2736,35,370.0,2832.9177651008745,43.879730999833555,74560.31519700082,22825.91374269006,1.7399428818636962,0.022258041251911317,370,1200,2200,3100,7000,16000,27000,36000,54000,75000,75000
GET,/userservice/users/{id},1363,104,380.0,54117.51237973734,41.53362699980789,2366003.133089,1090.4644167278063,0.8667917207530036,0.06613817971996507,380,1700,3400,5000,18000,51000,1334000,1607000,2357000,2366000,2366000
PUT,/userservice/users/{id},1312,115,400.0,46544.11354530794,44.495844000266516,2363220.272176999,952.076981707317,0.83435857492879,0.07313356411342291,400,1600,3100,4700,20000,62000,1080000,1418000,2325000,2363000,2363000
PUT,/userservice/users/{id}/follow,9874,199,290.0,2837.746369491194,42.83593500076677,75895.78340499975,1297.6100870974276,6.279311409182068,0.12655286311801006,290,1300,2300,3200,7200,16000,26000,33000,65000,76000,76000
GET,/userservice/users/{id}/followers,1274,89,740.0,26631.237414708787,108.29114599982859,2352448.017807999,16426.400313971742,0.810192701569572,0.05659901918343164,750,2100,3600,4700,15000,32000,182000,1243000,2338000,2352000,2352000
,Aggregated,140594,22334,830.0,11888.630539982629,7.388445999822579,2366003.133089,232307.43380940866,89.40991576489199,14.203174094862497,830,2800,5700,10000,30000,35000,46000,66000,1561000,2252000,2366000
