"Time","Value"
2024-07-15 14:23:20,274 W
2024-07-15 14:23:25,276 W
2024-07-15 14:23:30,236 W
2024-07-15 14:23:35,267 W
2024-07-15 14:23:40,215 W
2024-07-15 14:23:45,267 W
2024-07-15 14:23:50,272 W
2024-07-15 14:23:55,177 W
2024-07-15 14:24:00,246 W
2024-07-15 14:24:05,306 W
2024-07-15 14:24:10,236 W
2024-07-15 14:24:15,270 W
2024-07-15 14:24:20,247 W
2024-07-15 14:24:25,272 W
2024-07-15 14:24:30,198 W
2024-07-15 14:24:35,227 W
2024-07-15 14:24:40,235 W
2024-07-15 14:24:45,256 W
2024-07-15 14:24:50,271 W
2024-07-15 14:24:55,287 W
2024-07-15 14:25:00,256 W
2024-07-15 14:25:05,261 W
2024-07-15 14:25:10,202 W
2024-07-15 14:25:15,258 W
2024-07-15 14:25:20,275 W
2024-07-15 14:25:25,247 W
2024-07-15 14:25:30,274 W
2024-07-15 14:25:35,231 W
2024-07-15 14:25:40,276 W
2024-07-15 14:25:45,263 W
2024-07-15 14:25:50,279 W
2024-07-15 14:25:55,239 W
2024-07-15 14:26:00,287 W
2024-07-15 14:26:05,250 W
2024-07-15 14:26:10,251 W
2024-07-15 14:26:15,228 W
2024-07-15 14:26:20,286 W
2024-07-15 14:26:25,261 W
2024-07-15 14:26:30,265 W
2024-07-15 14:26:35,245 W
2024-07-15 14:26:40,256 W
2024-07-15 14:26:45,230 W
2024-07-15 14:26:50,295 W
2024-07-15 14:26:55,242 W
2024-07-15 14:27:00,270 W
2024-07-15 14:27:05,214 W
2024-07-15 14:27:10,165 W
2024-07-15 14:27:15,284 W
2024-07-15 14:27:20,239 W
2024-07-15 14:27:25,241 W
2024-07-15 14:27:30,271 W
2024-07-15 14:27:35,184 W
2024-07-15 14:27:40,257 W
2024-07-15 14:27:45,257 W
2024-07-15 14:27:50,224 W
2024-07-15 14:27:55,296 W
2024-07-15 14:28:00,244 W
2024-07-15 14:28:05,284 W
2024-07-15 14:28:10,304 W
2024-07-15 14:28:15,244 W
2024-07-15 14:28:20,280 W
2024-07-15 14:28:25,297 W
2024-07-15 14:28:30,290 W
2024-07-15 14:28:35,308 W
2024-07-15 14:28:40,305 W
2024-07-15 14:28:45,302 W
2024-07-15 14:28:50,308 W
2024-07-15 14:28:55,292 W
2024-07-15 14:29:00,291 W
2024-07-15 14:29:05,317 W
2024-07-15 14:29:10,290 W
2024-07-15 14:29:15,287 W
2024-07-15 14:29:20,304 W
2024-07-15 14:29:25,273 W
2024-07-15 14:29:30,292 W
2024-07-15 14:29:35,307 W
2024-07-15 14:29:40,269 W
2024-07-15 14:29:45,330 W
2024-07-15 14:29:50,329 W
2024-07-15 14:29:55,296 W
2024-07-15 14:30:00,297 W
2024-07-15 14:30:05,251 W
2024-07-15 14:30:10,286 W
2024-07-15 14:30:15,304 W
2024-07-15 14:30:20,297 W
2024-07-15 14:30:25,302 W
2024-07-15 14:30:30,250 W
2024-07-15 14:30:35,314 W
2024-07-15 14:30:40,284 W
2024-07-15 14:30:45,308 W
2024-07-15 14:30:50,279 W
2024-07-15 14:30:55,338 W
2024-07-15 14:31:00,289 W
2024-07-15 14:31:05,331 W
2024-07-15 14:31:10,296 W
2024-07-15 14:31:15,267 W
2024-07-15 14:31:20,296 W
2024-07-15 14:31:25,282 W
2024-07-15 14:31:30,290 W
2024-07-15 14:31:35,301 W
2024-07-15 14:31:40,306 W
2024-07-15 14:31:45,326 W
2024-07-15 14:31:50,262 W
2024-07-15 14:31:55,268 W
2024-07-15 14:32:00,282 W
2024-07-15 14:32:05,321 W
2024-07-15 14:32:10,294 W
2024-07-15 14:32:15,324 W
2024-07-15 14:32:20,253 W
2024-07-15 14:32:25,318 W
2024-07-15 14:32:30,289 W
2024-07-15 14:32:35,305 W
2024-07-15 14:32:40,291 W
2024-07-15 14:32:45,299 W
2024-07-15 14:32:50,291 W
2024-07-15 14:32:55,277 W
2024-07-15 14:33:00,268 W
2024-07-15 14:33:05,314 W
2024-07-15 14:33:10,285 W
2024-07-15 14:33:15,271 W
2024-07-15 14:33:20,295 W
2024-07-15 14:33:25,285 W
2024-07-15 14:33:30,348 W
2024-07-15 14:33:35,265 W
2024-07-15 14:33:40,299 W
2024-07-15 14:33:45,293 W
2024-07-15 14:33:50,281 W
2024-07-15 14:33:55,291 W
2024-07-15 14:34:00,239 W
2024-07-15 14:34:05,282 W
2024-07-15 14:34:10,293 W
2024-07-15 14:34:15,298 W
2024-07-15 14:34:20,253 W
2024-07-15 14:34:25,279 W
2024-07-15 14:34:30,267 W
2024-07-15 14:34:35,286 W
2024-07-15 14:34:40,241 W
2024-07-15 14:34:45,269 W
2024-07-15 14:34:50,260 W
2024-07-15 14:34:55,301 W
2024-07-15 14:35:00,250 W
2024-07-15 14:35:05,293 W
2024-07-15 14:35:10,243 W
2024-07-15 14:35:15,260 W
2024-07-15 14:35:20,265 W
2024-07-15 14:35:25,279 W
2024-07-15 14:35:30,305 W
2024-07-15 14:35:35,284 W
2024-07-15 14:35:40,296 W
2024-07-15 14:35:45,278 W
2024-07-15 14:35:50,263 W
2024-07-15 14:35:55,220 W
2024-07-15 14:36:00,285 W
2024-07-15 14:36:05,291 W
2024-07-15 14:36:10,315 W
2024-07-15 14:36:15,268 W
2024-07-15 14:36:20,319 W
2024-07-15 14:36:25,253 W
2024-07-15 14:36:30,265 W
2024-07-15 14:36:35,288 W
2024-07-15 14:36:40,263 W
2024-07-15 14:36:45,253 W
2024-07-15 14:36:50,282 W
2024-07-15 14:36:55,287 W
2024-07-15 14:37:00,282 W
2024-07-15 14:37:05,245 W
2024-07-15 14:37:10,299 W
2024-07-15 14:37:15,286 W
2024-07-15 14:37:20,288 W
2024-07-15 14:37:25,245 W
2024-07-15 14:37:30,296 W
2024-07-15 14:37:35,267 W
2024-07-15 14:37:40,266 W
2024-07-15 14:37:45,285 W
2024-07-15 14:37:50,302 W
2024-07-15 14:37:55,243 W
2024-07-15 14:38:00,180 W
2024-07-15 14:38:05,183 W
2024-07-15 14:38:10,180 W
2024-07-15 14:38:15,195 W
2024-07-15 14:38:20,286 W
2024-07-15 14:38:25,281 W
2024-07-15 14:38:30,280 W
2024-07-15 14:38:35,282 W
2024-07-15 14:38:40,291 W
2024-07-15 14:38:45,295 W
2024-07-15 14:38:50,277 W
2024-07-15 14:38:55,304 W
2024-07-15 14:39:00,222 W
2024-07-15 14:39:05,203 W
2024-07-15 14:39:10,183 W
2024-07-15 14:39:15,158 W
2024-07-15 14:39:20,187 W
2024-07-15 14:39:25,179 W
2024-07-15 14:39:30,273 W
2024-07-15 14:39:35,263 W
2024-07-15 14:39:40,281 W
2024-07-15 14:39:45,279 W
2024-07-15 14:39:50,291 W
2024-07-15 14:39:55,251 W
2024-07-15 14:40:00,289 W
2024-07-15 14:40:05,260 W
2024-07-15 14:40:10,301 W
2024-07-15 14:40:15,275 W
2024-07-15 14:40:20,275 W
2024-07-15 14:40:25,286 W
2024-07-15 14:40:30,248 W
2024-07-15 14:40:35,312 W
2024-07-15 14:40:40,307 W
2024-07-15 14:40:45,321 W
2024-07-15 14:40:50,249 W
2024-07-15 14:40:55,279 W
2024-07-15 14:41:00,268 W
2024-07-15 14:41:05,319 W
2024-07-15 14:41:10,205 W
2024-07-15 14:41:15,282 W
2024-07-15 14:41:20,268 W
2024-07-15 14:41:25,246 W
2024-07-15 14:41:30,282 W
2024-07-15 14:41:35,248 W
2024-07-15 14:41:40,285 W
2024-07-15 14:41:45,297 W
2024-07-15 14:41:50,242 W
2024-07-15 14:41:55,239 W
2024-07-15 14:42:00,314 W
2024-07-15 14:42:05,272 W
2024-07-15 14:42:10,276 W
2024-07-15 14:42:15,290 W
2024-07-15 14:42:20,252 W
2024-07-15 14:42:25,290 W
2024-07-15 14:42:30,284 W
2024-07-15 14:42:35,303 W
2024-07-15 14:42:40,304 W
2024-07-15 14:42:45,198 W
2024-07-15 14:42:50,299 W
2024-07-15 14:42:55,276 W
2024-07-15 14:43:00,305 W
2024-07-15 14:43:05,292 W
2024-07-15 14:43:10,281 W
2024-07-15 14:43:15,270 W
2024-07-15 14:43:20,271 W
2024-07-15 14:43:25,280 W
2024-07-15 14:43:30,262 W
2024-07-15 14:43:35,306 W
2024-07-15 14:43:40,268 W
2024-07-15 14:43:45,281 W
2024-07-15 14:43:50,287 W
2024-07-15 14:43:55,286 W
2024-07-15 14:44:00,227 W
2024-07-15 14:44:05,174 W
2024-07-15 14:44:10,234 W
2024-07-15 14:44:15,251 W
2024-07-15 14:44:20,237 W
2024-07-15 14:44:25,163 W
2024-07-15 14:44:30,218 W
2024-07-15 14:44:35,252 W
2024-07-15 14:44:40,204 W
2024-07-15 14:44:45,265 W
2024-07-15 14:44:50,299 W
2024-07-15 14:44:55,275 W
2024-07-15 14:45:00,291 W
2024-07-15 14:45:05,294 W
2024-07-15 14:45:10,286 W
2024-07-15 14:45:15,332 W
2024-07-15 14:45:20,315 W
2024-07-15 14:45:25,289 W
2024-07-15 14:45:30,295 W
2024-07-15 14:45:35,300 W
2024-07-15 14:45:40,262 W
2024-07-15 14:45:45,305 W
2024-07-15 14:45:50,287 W
2024-07-15 14:45:55,313 W
2024-07-15 14:46:00,271 W
2024-07-15 14:46:05,309 W
2024-07-15 14:46:10,331 W
2024-07-15 14:46:15,321 W
2024-07-15 14:46:20,280 W
2024-07-15 14:46:25,303 W
2024-07-15 14:46:30,337 W
2024-07-15 14:46:35,318 W
2024-07-15 14:46:40,299 W
2024-07-15 14:46:45,291 W
2024-07-15 14:46:50,291 W
2024-07-15 14:46:55,304 W
2024-07-15 14:47:00,282 W
2024-07-15 14:47:05,288 W
2024-07-15 14:47:10,273 W
2024-07-15 14:47:15,298 W
2024-07-15 14:47:20,292 W
2024-07-15 14:47:25,324 W
2024-07-15 14:47:30,275 W
2024-07-15 14:47:35,261 W
2024-07-15 14:47:40,284 W
2024-07-15 14:47:45,298 W
2024-07-15 14:47:50,302 W
2024-07-15 14:47:55,289 W
2024-07-15 14:48:00,297 W
2024-07-15 14:48:05,307 W
2024-07-15 14:48:10,282 W
2024-07-15 14:48:15,303 W
2024-07-15 14:48:20,296 W
2024-07-15 14:48:25,306 W
2024-07-15 14:48:30,293 W
2024-07-15 14:48:35,313 W
2024-07-15 14:48:40,313 W
2024-07-15 14:48:45,326 W
2024-07-15 14:48:50,305 W
2024-07-15 14:48:55,308 W
2024-07-15 14:49:00,304 W
2024-07-15 14:49:05,315 W
2024-07-15 14:49:10,295 W
2024-07-15 14:49:15,351 W
2024-07-15 14:49:20,277 W
2024-07-15 14:49:25,274 W
2024-07-15 14:49:30,303 W
2024-07-15 14:49:35,295 W
2024-07-15 14:49:40,290 W
2024-07-15 14:49:45,269 W
2024-07-15 14:49:50,269 W
2024-07-15 14:49:55,293 W
2024-07-15 14:50:00,289 W
2024-07-15 14:50:05,322 W
2024-07-15 14:50:10,284 W
2024-07-15 14:50:15,261 W
2024-07-15 14:50:20,271 W
2024-07-15 14:50:25,259 W
2024-07-15 14:50:30,295 W
2024-07-15 14:50:35,284 W
2024-07-15 14:50:40,303 W
2024-07-15 14:50:45,250 W
2024-07-15 14:50:50,245 W
2024-07-15 14:50:55,219 W
