"Time","Value"
2024-07-07 20:13:30,114 W
2024-07-07 20:13:35,152 W
2024-07-07 20:13:40,110 W
2024-07-07 20:13:45,164 W
2024-07-07 20:13:50,113 W
2024-07-07 20:13:55,150 W
2024-07-07 20:14:00,113 W
2024-07-07 20:14:05,139 W
2024-07-07 20:14:10,113 W
2024-07-07 20:14:15,185 W
2024-07-07 20:14:20,115 W
2024-07-07 20:14:25,164 W
2024-07-07 20:14:30,111 W
2024-07-07 20:14:35,155 W
2024-07-07 20:14:40,111 W
2024-07-07 20:14:45,171 W
2024-07-07 20:14:50,109 W
2024-07-07 20:14:55,137 W
2024-07-07 20:15:00,115 W
2024-07-07 20:15:05,140 W
2024-07-07 20:15:10,107 W
2024-07-07 20:15:15,182 W
2024-07-07 20:15:20,114 W
2024-07-07 20:15:25,140 W
2024-07-07 20:15:30,111 W
2024-07-07 20:15:35,156 W
2024-07-07 20:15:40,110 W
2024-07-07 20:15:45,166 W
2024-07-07 20:15:50,114 W
2024-07-07 20:15:55,136 W
2024-07-07 20:16:00,111 W
2024-07-07 20:16:05,152 W
2024-07-07 20:16:10,109 W
2024-07-07 20:16:15,144 W
2024-07-07 20:16:20,112 W
2024-07-07 20:16:25,147 W
2024-07-07 20:16:30,113 W
2024-07-07 20:16:35,136 W
2024-07-07 20:16:40,116 W
2024-07-07 20:16:45,150 W
2024-07-07 20:16:50,111 W
2024-07-07 20:16:55,142 W
2024-07-07 20:17:00,112 W
2024-07-07 20:17:05,132 W
2024-07-07 20:17:10,118 W
2024-07-07 20:17:15,141 W
2024-07-07 20:17:20,122 W
2024-07-07 20:17:25,139 W
2024-07-07 20:17:30,115 W
2024-07-07 20:17:35,136 W
2024-07-07 20:17:40,115 W
2024-07-07 20:17:45,172 W
2024-07-07 20:17:50,123 W
2024-07-07 20:17:55,113 W
2024-07-07 20:18:00,118 W
2024-07-07 20:18:05,125 W
2024-07-07 20:18:10,119 W
2024-07-07 20:18:15,158 W
2024-07-07 20:18:20,124 W
2024-07-07 20:18:25,122 W
2024-07-07 20:18:30,146 W
2024-07-07 20:18:35,124 W
2024-07-07 20:18:40,116 W
2024-07-07 20:18:45,157 W
2024-07-07 20:18:50,130 W
2024-07-07 20:18:55,116 W
2024-07-07 20:19:00,114 W
2024-07-07 20:19:05,134 W
2024-07-07 20:19:10,114 W
2024-07-07 20:19:15,164 W
2024-07-07 20:19:20,122 W
2024-07-07 20:19:25,118 W
2024-07-07 20:19:30,116 W
2024-07-07 20:19:35,124 W
2024-07-07 20:19:40,124 W
2024-07-07 20:19:45,161 W
2024-07-07 20:19:50,122 W
2024-07-07 20:19:55,165 W
2024-07-07 20:20:00,155 W
2024-07-07 20:20:05,136 W
2024-07-07 20:20:10,112 W
2024-07-07 20:20:15,177 W
2024-07-07 20:20:20,157 W
2024-07-07 20:20:25,123 W
2024-07-07 20:20:30,126 W
2024-07-07 20:20:35,157 W
2024-07-07 20:20:40,114 W
2024-07-07 20:20:45,210 W
2024-07-07 20:20:50,166 W
2024-07-07 20:20:55,119 W
2024-07-07 20:21:00,133 W
2024-07-07 20:21:05,145 W
2024-07-07 20:21:10,120 W
2024-07-07 20:21:15,142 W
2024-07-07 20:21:20,122 W
2024-07-07 20:21:25,121 W
2024-07-07 20:21:30,114 W
2024-07-07 20:21:35,136 W
2024-07-07 20:21:40,118 W
2024-07-07 20:21:45,161 W
2024-07-07 20:21:50,122 W
2024-07-07 20:21:55,118 W
2024-07-07 20:22:00,118 W
2024-07-07 20:22:05,126 W
2024-07-07 20:22:10,118 W
2024-07-07 20:22:15,151 W
2024-07-07 20:22:20,117 W
2024-07-07 20:22:25,122 W
2024-07-07 20:22:30,117 W
2024-07-07 20:22:35,140 W
2024-07-07 20:22:40,118 W
2024-07-07 20:22:45,145 W
2024-07-07 20:22:50,119 W
2024-07-07 20:22:55,123 W
2024-07-07 20:23:00,152 W
2024-07-07 20:23:05,180 W
2024-07-07 20:23:10,112 W
2024-07-07 20:23:15,174 W
2024-07-07 20:23:20,132 W
2024-07-07 20:23:25,120 W
2024-07-07 20:23:30,171 W
2024-07-07 20:23:35,165 W
2024-07-07 20:23:40,117 W
2024-07-07 20:23:45,164 W
2024-07-07 20:23:50,122 W
2024-07-07 20:23:55,122 W
2024-07-07 20:24:00,120 W
2024-07-07 20:24:05,128 W
2024-07-07 20:24:10,115 W
2024-07-07 20:24:15,166 W
2024-07-07 20:24:20,120 W
2024-07-07 20:24:25,126 W
2024-07-07 20:24:30,122 W
2024-07-07 20:24:35,130 W
2024-07-07 20:24:40,112 W
2024-07-07 20:24:45,182 W
2024-07-07 20:24:50,120 W
2024-07-07 20:24:55,162 W
2024-07-07 20:25:00,115 W
2024-07-07 20:25:05,133 W
2024-07-07 20:25:10,118 W
2024-07-07 20:25:15,149 W
2024-07-07 20:25:20,115 W
2024-07-07 20:25:25,153 W
2024-07-07 20:25:30,128 W
2024-07-07 20:25:35,141 W
2024-07-07 20:25:40,119 W
2024-07-07 20:25:45,152 W
2024-07-07 20:25:50,119 W
2024-07-07 20:25:55,164 W
2024-07-07 20:26:00,176 W
2024-07-07 20:26:05,183 W
2024-07-07 20:26:10,171 W
2024-07-07 20:26:15,208 W
2024-07-07 20:26:20,155 W
2024-07-07 20:26:25,205 W
2024-07-07 20:26:30,175 W
2024-07-07 20:26:35,146 W
2024-07-07 20:26:40,158 W
2024-07-07 20:26:45,176 W
2024-07-07 20:26:50,183 W
2024-07-07 20:26:55,221 W
2024-07-07 20:27:00,181 W
2024-07-07 20:27:05,209 W
2024-07-07 20:27:10,171 W
2024-07-07 20:27:15,168 W
2024-07-07 20:27:20,143 W
2024-07-07 20:27:25,158 W
2024-07-07 20:27:30,142 W
2024-07-07 20:27:35,228 W
2024-07-07 20:27:40,220 W
2024-07-07 20:27:45,268 W
2024-07-07 20:27:50,187 W
2024-07-07 20:27:55,208 W
2024-07-07 20:28:00,155 W
2024-07-07 20:28:05,191 W
2024-07-07 20:28:10,156 W
2024-07-07 20:28:15,213 W
2024-07-07 20:28:20,170 W
2024-07-07 20:28:25,203 W
2024-07-07 20:28:30,154 W
2024-07-07 20:28:35,172 W
2024-07-07 20:28:40,189 W
2024-07-07 20:28:45,210 W
2024-07-07 20:28:50,143 W
2024-07-07 20:28:55,160 W
2024-07-07 20:29:00,160 W
2024-07-07 20:29:05,166 W
2024-07-07 20:29:10,179 W
2024-07-07 20:29:15,209 W
2024-07-07 20:29:20,143 W
2024-07-07 20:29:25,168 W
2024-07-07 20:29:30,161 W
2024-07-07 20:29:35,166 W
2024-07-07 20:29:40,153 W
2024-07-07 20:29:45,188 W
2024-07-07 20:29:50,167 W
2024-07-07 20:29:55,152 W
2024-07-07 20:30:00,137 W
2024-07-07 20:30:05,207 W
2024-07-07 20:30:10,145 W
2024-07-07 20:30:15,224 W
2024-07-07 20:30:20,128 W
2024-07-07 20:30:25,194 W
2024-07-07 20:30:30,164 W
2024-07-07 20:30:35,205 W
2024-07-07 20:30:40,129 W
2024-07-07 20:30:45,185 W
2024-07-07 20:30:50,146 W
2024-07-07 20:30:55,172 W
2024-07-07 20:31:00,206 W
2024-07-07 20:31:05,180 W
2024-07-07 20:31:10,183 W
2024-07-07 20:31:15,248 W
2024-07-07 20:31:20,161 W
2024-07-07 20:31:25,167 W
2024-07-07 20:31:30,169 W
2024-07-07 20:31:35,171 W
2024-07-07 20:31:40,142 W
2024-07-07 20:31:45,205 W
2024-07-07 20:31:50,183 W
2024-07-07 20:31:55,210 W
2024-07-07 20:32:00,244 W
2024-07-07 20:32:05,199 W
2024-07-07 20:32:10,174 W
2024-07-07 20:32:15,212 W
2024-07-07 20:32:20,180 W
2024-07-07 20:32:25,210 W
2024-07-07 20:32:30,147 W
2024-07-07 20:32:35,162 W
2024-07-07 20:32:40,187 W
2024-07-07 20:32:45,207 W
2024-07-07 20:32:50,180 W
2024-07-07 20:32:55,157 W
2024-07-07 20:33:00,188 W
2024-07-07 20:33:05,167 W
2024-07-07 20:33:10,141 W
2024-07-07 20:33:15,243 W
2024-07-07 20:33:20,125 W
2024-07-07 20:33:25,195 W
2024-07-07 20:33:30,147 W
2024-07-07 20:33:35,121 W
2024-07-07 20:33:40,137 W
2024-07-07 20:33:45,151 W
2024-07-07 20:33:50,170 W
2024-07-07 20:33:55,165 W
2024-07-07 20:34:00,169 W
2024-07-07 20:34:05,153 W
2024-07-07 20:34:10,143 W
2024-07-07 20:34:15,201 W
2024-07-07 20:34:20,210 W
2024-07-07 20:34:25,169 W
2024-07-07 20:34:30,188 W
2024-07-07 20:34:35,167 W
2024-07-07 20:34:40,198 W
2024-07-07 20:34:45,187 W
2024-07-07 20:34:50,156 W
2024-07-07 20:34:55,162 W
2024-07-07 20:35:00,214 W
2024-07-07 20:35:05,204 W
2024-07-07 20:35:10,183 W
2024-07-07 20:35:15,211 W
2024-07-07 20:35:20,218 W
2024-07-07 20:35:25,187 W
2024-07-07 20:35:30,180 W
2024-07-07 20:35:35,221 W
2024-07-07 20:35:40,190 W
2024-07-07 20:35:45,217 W
2024-07-07 20:35:50,154 W
2024-07-07 20:35:55,191 W
2024-07-07 20:36:00,178 W
2024-07-07 20:36:05,180 W
2024-07-07 20:36:10,218 W
2024-07-07 20:36:15,234 W
2024-07-07 20:36:20,223 W
2024-07-07 20:36:25,218 W
2024-07-07 20:36:30,213 W
2024-07-07 20:36:35,190 W
2024-07-07 20:36:40,165 W
2024-07-07 20:36:45,239 W
2024-07-07 20:36:50,188 W
2024-07-07 20:36:55,158 W
2024-07-07 20:37:00,169 W
2024-07-07 20:37:05,181 W
2024-07-07 20:37:10,197 W
2024-07-07 20:37:15,201 W
