Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},10892,4518,23000.0,30177.13874347865,16.868435001015314,3792027.6443700003,411468.7372383401,7.054454119895971,2.926186532656078,23000,30000,32000,34000,44000,55000,71000,85000,1135000,3766000,3792000
GET,/notificationservice/notifications,9000,29,120.0,1744.1920294291142,46.45001000062621,76981.3273639993,755.4487777777778,5.829056837960314,0.018782516477872123,120,180,340,500,2500,9500,26000,36000,72000,77000,77000
POST,/notificationservice/notifications/count,9182,394,130.0,16395.771333968012,46.41140799867571,3792873.2766190004,2.0936615116532344,5.946933320683511,0.25518315490626264,130,200,450,810,5000,21000,42000,97000,3528000,3793000,3793000
POST,/notificationservice/notifications/{id},6098,187,120.0,9728.712126419794,3.043554999749176,3529213.321606001,85.14611347982945,3.9495098442091106,0.12111484763317541,120,170,230,330,1500,6500,27000,42000,2045000,3529000,3529000
GET,/postservice/categories,4389,614,10000.0,13262.865554486449,41.587147999962326,102716.46276400134,3136844.699703805,2.8426367179786465,0.39767121094529256,10000,15000,19000,21000,30000,37000,46000,54000,78000,103000,103000
GET,/postservice/posts,4639,553,500.0,3765.031760349422,41.70831800001906,76153.06275999865,22745.26988575124,3.004554963477544,0.3581631590435615,500,1300,2600,4000,11000,22000,34000,42000,70000,76000,76000
POST,/postservice/posts,4150,1346,1200.0,6983.175856673006,10.764844999357592,3260367.991727001,424.30192771084336,2.6878428752817003,0.8717678337660647,1200,2600,4400,6800,16000,30000,43000,53000,130000,3260000,3260000
GET,/postservice/posts/{id},4112,575,330.0,5620.718044199434,39.96282499974768,1134066.8765890005,709.5581225680934,2.663231301965868,0.3724119646474645,330,1400,3100,4900,16000,30000,41000,51000,786000,1134000,1134000
POST,/postservice/posts/{id}/comments,4159,681,460.0,11003.333679437104,44.532363001053454,3388782.4573190003,5532.928588603029,2.6936719321196607,0.4410653007389971,460,1800,4100,6200,19000,32000,53000,65000,1716000,3389000,3389000
GET,/postservice/posts/{id}/image,4114,904,1100.0,9300.329094131772,43.10631600128545,3072409.7657059995,124786.92756441419,2.664526647929859,0.5854963757240138,1100,2500,4500,6700,17000,30000,49000,56000,882000,3072000,3072000
POST,/postservice/posts/{id}/like,20796,3200,440.0,8944.929772923664,38.998095000351896,3797757.8184720003,5657.810877091749,13.469007333580299,2.0725535423858896,440,1600,3400,5200,15000,30000,50000,64000,1130000,3330000,3798000
POST,/userservice/users,7917,220,120.0,6704.116700332844,39.27394899983483,2866236.5429149996,128.08488063660477,5.12762699845909,0.1424880560390299,120,190,410,690,3300,8600,25000,42000,2047000,2866000,2866000
POST,/userservice/users/search,17206,117,140.0,1277.5466085093149,41.070936000323854,75334.31269799985,27330.03946297803,11.14386132821613,0.07577773889348409,140,360,580,860,2400,5500,13000,24000,51000,74000,75000
GET,/userservice/users/{id},8102,217,100.0,5510.267175765364,38.64184799931536,3071898.0206759996,1122.931498395458,5.247446500128274,0.14054503709304314,100,160,380,640,2900,8300,25000,40000,2848000,3072000,3072000
PUT,/userservice/users/{id},8152,231,120.0,4127.5018598309525,39.897336000649375,2863647.168417,965.7701177625123,5.2798301492280535,0.1496124588409814,120,190,430,770,3800,10000,28000,45000,791000,2864000,2864000
PUT,/userservice/users/{id}/follow,63274,778,120.0,1210.4033904428306,40.739468999163364,77054.71085499994,1271.920362234093,40.980860262788994,0.5038895799925693,120,180,370,540,2300,5500,13000,24000,52000,75000,77000
GET,/userservice/users/{id}/followers,8201,293,250.0,7785.511802484578,38.47484499965503,3258479.8000369994,17513.388001463238,5.311566125345838,0.189768183724708,250,400,650,1000,4100,10000,27000,42000,2021000,3258000,3258000
,Aggregated,194383,14857,180.0,6409.288967537416,3.043554999749176,3797757.8184720003,101517.30020114928,125.89661725924886,9.622477493508487,180,540,1500,2900,14000,27000,39000,51000,880000,3524000,3798000
