"Time","Value"
2024-08-05 11:51:40,134 W
2024-08-05 11:51:45,156 W
2024-08-05 11:51:50,155 W
2024-08-05 11:51:55,139 W
2024-08-05 11:52:00,127 W
2024-08-05 11:52:05,153 W
2024-08-05 11:52:10,134 W
2024-08-05 11:52:15,130 W
2024-08-05 11:52:20,142 W
2024-08-05 11:52:25,121 W
2024-08-05 11:52:30,133 W
2024-08-05 11:52:35,182 W
2024-08-05 11:52:40,139 W
2024-08-05 11:52:45,128 W
2024-08-05 11:52:50,131 W
2024-08-05 11:52:55,131 W
2024-08-05 11:53:00,120 W
2024-08-05 11:53:05,167 W
2024-08-05 11:53:10,133 W
2024-08-05 11:53:15,125 W
2024-08-05 11:53:20,135 W
2024-08-05 11:53:25,133 W
2024-08-05 11:53:30,132 W
2024-08-05 11:53:35,150 W
2024-08-05 11:53:40,130 W
2024-08-05 11:53:45,133 W
2024-08-05 11:53:50,137 W
2024-08-05 11:53:55,132 W
2024-08-05 11:54:00,130 W
2024-08-05 11:54:05,159 W
2024-08-05 11:54:10,139 W
2024-08-05 11:54:15,131 W
2024-08-05 11:54:20,135 W
2024-08-05 11:54:25,121 W
2024-08-05 11:54:30,126 W
2024-08-05 11:54:35,160 W
2024-08-05 11:54:40,136 W
2024-08-05 11:54:45,116 W
2024-08-05 11:54:50,144 W
2024-08-05 11:54:55,130 W
2024-08-05 11:55:00,129 W
2024-08-05 11:55:05,170 W
2024-08-05 11:55:10,136 W
2024-08-05 11:55:15,129 W
2024-08-05 11:55:20,133 W
2024-08-05 11:55:25,125 W
2024-08-05 11:55:30,129 W
2024-08-05 11:55:35,139 W
2024-08-05 11:55:40,128 W
2024-08-05 11:55:45,123 W
2024-08-05 11:55:50,148 W
2024-08-05 11:55:55,129 W
2024-08-05 11:56:00,139 W
2024-08-05 11:56:05,140 W
2024-08-05 11:56:10,133 W
2024-08-05 11:56:15,124 W
2024-08-05 11:56:20,137 W
2024-08-05 11:56:25,129 W
2024-08-05 11:56:30,127 W
2024-08-05 11:56:35,157 W
2024-08-05 11:56:40,132 W
2024-08-05 11:56:45,131 W
2024-08-05 11:56:50,155 W
2024-08-05 11:56:55,130 W
2024-08-05 11:57:00,130 W
2024-08-05 11:57:05,152 W
2024-08-05 11:57:10,138 W
2024-08-05 11:57:15,131 W
2024-08-05 11:57:20,154 W
2024-08-05 11:57:25,133 W
2024-08-05 11:57:30,132 W
2024-08-05 11:57:35,131 W
2024-08-05 11:57:40,129 W
2024-08-05 11:57:45,152 W
2024-08-05 11:57:50,139 W
2024-08-05 11:57:55,132 W
2024-08-05 11:58:00,134 W
2024-08-05 11:58:05,127 W
2024-08-05 11:58:10,125 W
2024-08-05 11:58:15,134 W
2024-08-05 11:58:20,141 W
2024-08-05 11:58:25,133 W
2024-08-05 11:58:30,152 W
2024-08-05 11:58:35,140 W
2024-08-05 11:58:40,169 W
2024-08-05 11:58:45,169 W
2024-08-05 11:58:50,163 W
2024-08-05 11:58:55,140 W
2024-08-05 11:59:00,133 W
2024-08-05 11:59:05,139 W
2024-08-05 11:59:10,166 W
2024-08-05 11:59:15,126 W
2024-08-05 11:59:20,144 W
2024-08-05 11:59:25,132 W
2024-08-05 11:59:30,139 W
2024-08-05 11:59:35,157 W
2024-08-05 11:59:40,143 W
2024-08-05 11:59:45,155 W
2024-08-05 11:59:50,164 W
2024-08-05 11:59:55,140 W
2024-08-05 12:00:00,133 W
2024-08-05 12:00:05,142 W
2024-08-05 12:00:10,142 W
2024-08-05 12:00:15,167 W
2024-08-05 12:00:20,196 W
2024-08-05 12:00:25,160 W
2024-08-05 12:00:30,128 W
2024-08-05 12:00:35,141 W
2024-08-05 12:00:40,134 W
2024-08-05 12:00:45,148 W
2024-08-05 12:00:50,144 W
2024-08-05 12:00:55,152 W
2024-08-05 12:01:00,133 W
2024-08-05 12:01:05,133 W
2024-08-05 12:01:10,133 W
2024-08-05 12:01:15,144 W
2024-08-05 12:01:20,164 W
2024-08-05 12:01:25,138 W
2024-08-05 12:01:30,135 W
2024-08-05 12:01:35,132 W
2024-08-05 12:01:40,135 W
2024-08-05 12:01:45,136 W
2024-08-05 12:01:50,148 W
2024-08-05 12:01:55,149 W
2024-08-05 12:02:00,183 W
2024-08-05 12:02:05,152 W
2024-08-05 12:02:10,143 W
2024-08-05 12:02:15,135 W
2024-08-05 12:02:20,142 W
2024-08-05 12:02:25,140 W
2024-08-05 12:02:30,151 W
2024-08-05 12:02:35,153 W
2024-08-05 12:02:40,131 W
2024-08-05 12:02:45,134 W
2024-08-05 12:02:50,161 W
2024-08-05 12:02:55,139 W
2024-08-05 12:03:00,153 W
2024-08-05 12:03:05,134 W
2024-08-05 12:03:10,164 W
2024-08-05 12:03:15,152 W
2024-08-05 12:03:20,148 W
2024-08-05 12:03:25,137 W
2024-08-05 12:03:30,138 W
2024-08-05 12:03:35,133 W
2024-08-05 12:03:40,131 W
2024-08-05 12:03:45,147 W
2024-08-05 12:03:50,152 W
2024-08-05 12:03:55,136 W
2024-08-05 12:04:00,148 W
2024-08-05 12:04:05,147 W
2024-08-05 12:04:10,148 W
2024-08-05 12:04:15,133 W
2024-08-05 12:04:20,175 W
2024-08-05 12:04:25,135 W
2024-08-05 12:04:30,131 W
2024-08-05 12:04:35,141 W
2024-08-05 12:04:40,137 W
2024-08-05 12:04:45,141 W
2024-08-05 12:04:50,173 W
2024-08-05 12:04:55,146 W
2024-08-05 12:05:00,124 W
2024-08-05 12:05:05,139 W
2024-08-05 12:05:10,140 W
2024-08-05 12:05:15,139 W
2024-08-05 12:05:20,156 W
2024-08-05 12:05:25,142 W
2024-08-05 12:05:30,152 W
2024-08-05 12:05:35,163 W
2024-08-05 12:05:40,156 W
2024-08-05 12:05:45,146 W
2024-08-05 12:05:50,138 W
2024-08-05 12:05:55,155 W
2024-08-05 12:06:00,146 W
2024-08-05 12:06:05,144 W
2024-08-05 12:06:10,166 W
2024-08-05 12:06:15,143 W
2024-08-05 12:06:20,156 W
2024-08-05 12:06:25,160 W
2024-08-05 12:06:30,151 W
2024-08-05 12:06:35,138 W
2024-08-05 12:06:40,133 W
2024-08-05 12:06:45,138 W
2024-08-05 12:06:50,141 W
2024-08-05 12:06:55,161 W
2024-08-05 12:07:00,141 W
2024-08-05 12:07:05,142 W
2024-08-05 12:07:10,140 W
2024-08-05 12:07:15,140 W
2024-08-05 12:07:20,134 W
2024-08-05 12:07:25,149 W
